date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:36	88140/88140	---M-Z	200	added ('OK')	text/html	etag:W/%22cee7bba5ef5cb1ff884d70b98a20e560%22	https://nd-noi-that.mysapo.net/xu-huong-noi-that-may	E:/template/noithat/nd-noi-that.mysapo.net/xu-huong-noi-that-may.html	(from https://nd-noi-that.mysapo.net/)
08:54:36	97366/97366	---M-Z	200	added ('OK')	text/html	etag:W/%22d3bffbd3f1055cd1cae9cd1a5a06625d%22	https://nd-noi-that.mysapo.net/xua-tan-nang-nong-voi-noi-that-mau-xanh-ngoc	E:/template/noithat/nd-noi-that.mysapo.net/xua-tan-nang-nong-voi-noi-that-mau-xanh-ngoc.html	(from https://nd-noi-that.mysapo.net/)
08:54:37	90321/90321	---M-Z	200	added ('OK')	text/html	etag:W/%22edbf460807a9170faf3dcc0e9ff38512%22	https://nd-noi-that.mysapo.net/xu-huong-noi-that-2020	E:/template/noithat/nd-noi-that.mysapo.net/xu-huong-noi-that-2020.html	(from https://nd-noi-that.mysapo.net/)
08:54:38	90551/90551	---M-Z	200	added ('OK')	text/html	etag:W/%2268ed37221632d3e6fc6d8583c413000b%22	https://nd-noi-that.mysapo.net/thu-thai-trong-chinh-can-ho-cua-ban-1	E:/template/noithat/nd-noi-that.mysapo.net/thu-thai-trong-chinh-can-ho-cua-ban-1.html	(from https://nd-noi-that.mysapo.net/)
08:54:38	2064/2064	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Dec%202021%2004:44:13%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_1.jpg?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_1fe5e.jpg	(from https://nd-noi-that.mysapo.net/)
08:54:39	3177/3177	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Dec%202021%2004:44:14%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_2.jpg?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_2fe5e.jpg	(from https://nd-noi-that.mysapo.net/)
08:54:40	2309/2309	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Mar%202022%2007:42:32%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_3.jpg?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_3fe5e.jpg	(from https://nd-noi-that.mysapo.net/)
08:54:40	2140/2140	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Mar%202022%2007:42:32%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_4.jpg?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_4fe5e.jpg	(from https://nd-noi-that.mysapo.net/)
08:54:40	2036/2036	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Mar%202022%2007:42:32%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_5.jpg?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/image_payment_5fe5e.jpg	(from https://nd-noi-that.mysapo.net/)
08:54:40	620/620	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Dec%202021%2015:00:10%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/ico_check_.png?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/ico_check_fe5e.png	(from https://nd-noi-that.mysapo.net/)
08:54:42	164446/164446	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Dec%202021%2009:16:59%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/banner_3.jpg?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/banner_3fe5e.jpg	(from https://nd-noi-that.mysapo.net/)
08:54:44	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2029%20Apr%202022%2001:54:42%20GMT	https://nd-noi-that.mysapo.net/checkout	E:/template/noithat/nd-noi-that.mysapo.net/checkout.4c.delayed	(from https://nd-noi-that.mysapo.net/)
08:54:45	194498/194498	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Feb%202022%2013:44:05%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/banner_4.jpg?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/banner_4fe5e.jpg	(from https://nd-noi-that.mysapo.net/)
08:54:45	260/260	---M-Z	200	added ('OK')	application/json	etag:W/%2206c756ace7a1791fc608c428c79e514d%22	https://nd-noi-that.mysapo.net/cart.js	E:/template/noithat/nd-noi-that.mysapo.net/cart.json	(from https://nd-noi-that.mysapo.net/)
08:54:45	6451/6451	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Feb%202022%2002:16:47%20GMT	https://bizweb.dktcdn.net/thumb/large/assets/themes_support/noimage.gif	E:/template/noithat/bizweb.dktcdn.net/thumb/large/assets/themes_support/noimage.gif	(from https://nd-noi-that.mysapo.net/)
08:54:46	20062/20062	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2007%20Dec%202021%2002:45:51%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/main2.js?1638842751333	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/main2fe5e.js	(from https://nd-noi-that.mysapo.net/)
08:54:46	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	E:/template/noithat/ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	(from https://nd-noi-that.mysapo.net/)
08:54:47	0/0	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2001:54:48%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/owl.video.play.png	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/owl.video.play.png	(from http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/bootstrap.scss.css?1638842751333)
08:54:47	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	E:/template/noithat/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://nd-noi-that.mysapo.net/)
08:54:47	1078/1078	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jan%202022%2022:57:31%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/ico-select.png?1621480486681	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/ico-selectdcd3.png	(from http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/base.scss.css?1638842751333)
08:54:48	0/0	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2029%20Apr%202022%2001:54:49%20GMT	http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/background-vechungtoi.jpg?1621480486681	E:/template/noithat/bizweb.dktcdn.net/100/369/704/themes/741072/assets/background-vechungtoidcd3.jpg	(from http://bizweb.dktcdn.net/100/369/704/themes/741072/assets/base.scss.css?1638842751333)
